Player,Nation,Position,Age,90s,PassesAttempted,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,PassesCompleted,Off,Blocks,Matches
Alisson,br BRA,GK,31-058,13.0,547,460,87,18,0,2,0,0,0,0,0,0,460,0,1,Matches
Mohamed Salah,eg EGY,FW,31-167,12.6,427,411,13,3,12,0,17,7,0,0,0,0,319,3,17,Matches
Dominik Szoboszlai,hu HUN,MF,23-035,12.5,822,746,72,21,2,11,46,14,23,11,7,0,696,4,12,Matches
Alexis Mac Allister,ar ARG,MF,24-340,10.7,759,750,9,9,7,5,1,0,0,0,0,0,668,0,11,Matches
Virgil van Dijk,nl NED,DF,32-144,10.3,779,727,51,21,0,6,0,4,0,0,0,0,713,1,3,Matches
Trent Alexander-Arnold,eng ENG,DF,25-053,9.6,747,605,139,30,10,11,50,85,24,0,20,0,574,3,4,Matches
Andrew Robertson,sct SCO,DF,29-263,8.0,587,491,91,22,0,5,45,45,24,13,11,0,485,5,9,Matches
Joël Matip,cm CMR,DF,32-113,7.9,507,502,4,4,0,0,0,0,0,0,0,0,442,1,3,Matches
Luis Díaz,co COL,"FW,MF",26-320,7.5,271,262,8,0,2,1,5,7,0,0,0,0,213,1,8,Matches
Diogo Jota,pt POR,"FW,MF",26-360,7.0,222,222,0,0,1,1,4,0,0,0,0,0,169,0,11,Matches
Darwin Núñez,uy URU,FW,24-158,7.6,176,170,6,1,2,0,5,1,0,0,0,0,129,0,7,Matches
Cody Gakpo,nl NED,"MF,FW",24-206,5.3,142,137,4,2,0,0,3,1,0,0,0,0,108,1,6,Matches
Joe Gomez,eng ENG,DF,26-190,5.6,429,380,47,3,0,4,10,42,0,0,0,0,373,2,9,Matches
Ibrahima Konaté,fr FRA,DF,24-188,5.2,432,426,6,4,1,0,0,2,0,0,0,0,399,0,1,Matches
Curtis Jones,eng ENG,MF,22-303,3.7,216,210,6,1,0,1,0,5,0,0,0,0,202,0,0,Matches
Kostas Tsimikas,gr GRE,DF,27-201,4.0,284,229,55,10,0,1,38,30,15,5,10,0,222,0,3,Matches
Ryan Gravenberch,nl NED,MF,21-197,3.4,131,129,2,1,1,1,0,1,0,0,0,0,115,0,2,Matches
Wataru Endo,jp JPN,MF,30-293,2.4,132,129,2,1,0,0,0,0,0,0,0,0,113,1,4,Matches
Harvey Elliott,eng ENG,MF,20-239,3.0,176,172,2,0,0,0,7,2,0,0,0,0,150,2,3,Matches
Jarrell Quansah,eng ENG,DF,20-304,1.3,114,111,2,0,0,0,0,1,0,0,0,0,107,1,0,Matches
Ben Doak,sct SCO,FW,18-018,0.2,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
James McConnell,eng ENG,MF,19-077,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
