Player,Nation,Pos,Age,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_TO,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_TO,GCA_Sh,GCA_Fld,GCA_Def,Matches,Position
Alisson,br BRA,,31-058,13.0,6,,0.46,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0,GK
Mohamed Salah,eg EGY,,31-167,12.6,51,,4.05,38,1,1,5,5,1,9,0.71,7,0,0,1,1,0,FW
Dominik Szoboszlai,hu HUN,,23-035,12.5,56,,4.48,37,12,3,2,2,0,6,0.48,4,0,0,1,1,0,MF
Alexis Mac Allister,ar ARG,,24-340,10.7,25,,2.33,23,0,0,0,2,0,3,0.28,3,0,0,0,0,0,MF
Virgil van Dijk,nl NED,,32-144,10.3,19,,1.84,18,0,0,1,0,0,1,0.10,1,0,0,0,0,0,DF
Trent Alexander-Arnold,eng ENG,,25-053,9.6,43,,4.46,31,8,2,2,0,0,4,0.42,3,1,0,0,0,0,DF
Andrew Robertson,sct SCO,,29-263,8.0,27,,3.38,14,13,0,0,0,0,2,0.25,1,1,0,0,0,0,DF
Joël Matip,cm CMR,,32-113,7.9,8,,1.01,8,0,0,0,0,0,1,0.13,1,0,0,0,0,0,DF
Luis Díaz,co COL,,26-320,7.5,36,,4.79,24,0,4,4,4,0,3,0.40,3,0,0,0,0,0,"FW,MF"
Diogo Jota,pt POR,,26-360,7.0,26,,3.69,21,0,2,2,1,0,4,0.57,2,0,1,1,0,0,"FW,MF"
Darwin Núñez,uy URU,,24-158,7.6,24,,3.15,17,0,0,6,1,0,6,0.79,4,0,0,2,0,0,FW
Cody Gakpo,nl NED,,24-206,5.3,14,,2.64,11,0,1,2,0,0,0,0.00,0,0,0,0,0,0,"MF,FW"
Joe Gomez,eng ENG,,26-190,5.6,15,,2.67,12,0,0,1,2,0,0,0.00,0,0,0,0,0,0,DF
Ibrahima Konaté,fr FRA,,24-188,5.2,8,,1.54,8,0,0,0,0,0,1,0.19,1,0,0,0,0,0,DF
Curtis Jones,eng ENG,,22-303,3.7,2,,0.54,0,0,1,1,0,0,0,0.00,0,0,0,0,0,0,MF
Kostas Tsimikas,gr GRE,,27-201,4.0,15,,3.75,11,4,0,0,0,0,2,0.50,2,0,0,0,0,0,DF
Ryan Gravenberch,nl NED,,21-197,3.4,12,,3.51,9,0,0,3,0,0,0,0.00,0,0,0,0,0,0,MF
Wataru Endo,jp JPN,,30-293,2.4,4,,1.65,3,0,0,0,0,1,0,0.00,0,0,0,0,0,0,MF
Harvey Elliott,eng ENG,,20-239,3.0,9,,3.00,8,0,0,1,0,0,1,0.33,1,0,0,0,0,0,MF
Jarrell Quansah,eng ENG,,20-304,1.3,0,,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,DF
Ben Doak,sct SCO,,18-018,0.2,0,,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,FW
James McConnell,eng ENG,,19-077,0.0,0,,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,MF
